"Actual","Predicted"
9879.668,9924.70418232319
9881.034,9928.47493182201
9012.165,9001.48212664326
6963.761,6987.00498923006
7937.405,7932.69573694495
7836.088,7892.50186128553
7270.13,7301.00501773678
9435.325,9488.87449832507
8028.877,8011.39097263543
9103.539,9048.61087461603
8667.556,8688.46105472633
8989.29,8993.73125260919
9918.751,9942.35032230427
10016.313,9981.57584096342
9986.239,9973.875588665
9520.238,9528.35700954546
10011.035,9976.41162378925
9088.291,9048.69632730627
9321.503,9313.1304807544
8957.82,8987.67404896453
9414.628,9349.79195068383
8740.124,8716.35825216036
9260.53,9291.57242466145
9615.518,9567.65965466289
6841.965,6820.41598523444
8958.712,8991.41032301353
9879.038,9916.93231077911
7817.117,7880.7559371534
9956.851,9955.96729188146
9383.526,9339.29507766613
7051.018,7032.27653601862
9248.433,9285.60545553216
8032.895,7997.05726369585
9966.677,9968.51661274444
6905.736,6888.18811189928
6943.549,6894.33882399639
7022.127,6962.12594512526
9931.146,9955.74576428569
9968.188,9961.11308797752
10005.261,9976.2103067112
6879.967,6948.52905028204
8776.411,8733.15267532249
7887.427,7916.75000473297
6896.429,6932.28991172217
9081.37,9030.77564614308
9487.153,9517.59568596201
9463.424,9505.07064457711
9495.975,9520.29868454369
9999.7,9963.13574280192
9382.505,9336.18356906088
9043.721,9025.72017036215
7080.305,7047.8507044218
8582.169,8642.01323967826
7358.818,7308.00367732569
9583.421,9554.48140603059
6846.632,6929.35643075751
9459.035,9497.04635783713
9586.212,9547.11436918265
9237.482,9277.56840061874
9904.139,9938.03369913263
7888.012,7938.75298715714
6791.217,6831.40492525438
7036.802,7027.34369581928
9013.406,9010.58246965644
9540.653,9539.24781834711
6887.714,6862.51458184062
7313.632,7277.68994805408
9953.697,9962.80822581698
7299.857,7312.20279619769
6910.508,6879.35797049174
9062.064,9019.62448244088
9309.136,9308.5008180701
8602.967,8660.19737007551
6989.927,6991.61878757416
6998.668,6997.18286320747
9897.858,9930.96638135131
7313.545,7304.8400242282
9404.627,9347.70822099962
7031.178,7012.05469791717
7099.85,7048.29004878785
9985.373,9968.45470525285
7988.758,7983.76344573527
8777.19,8722.91665942002
6973.075,6925.22344133971
9498.877,9520.06649675069
6892.829,6855.15993697753
9969.481,9958.49285266667
7264.007,7302.5149016572
9395.346,9336.1640459113
7235.542,7260.17996752284
6866.38,6946.10441517206
7165.679,7221.87761759774
6927.539,6896.29201215853
9405.058,9347.14036964604
7351.316,7333.27458479054
8641.51,8677.17596667679
7262.881,7278.04749226967
9460.461,9506.11060640714
7982.806,7962.86721919041
7865.593,7903.88150093605
9100.399,9046.36242962925
8702.152,8702.39698646681
9271.587,9294.654663357
7846.146,7901.20965409269
9356.514,9330.71951900763
9588.651,9553.88707952646
7972.068,7977.39669506867
7307.776,7290.852753467
6861.048,6831.33708905279
6827.748,6846.08959220676
6963.76,6973.8521530825
9485.007,9514.13593961162
8718.749,8699.03288856395
7402.839,7356.88213863004
7291.217,7274.3736571257
9495.664,9521.82107248718
9514.979,9527.00545240071
7120.082,7047.90261529149
10082.348,10014.3458647601
9338.865,9313.9157339324
7929.038,7941.65729079361
7305.939,7289.70325255311
7305.868,7319.1794689485
7882.656,7918.86260361981
7927.184,7970.41155412126
7217.09,7265.59715138502
7345.448,7334.19765274766
9069.333,9024.74077981761
6960.952,6982.64442478963
7916.708,7931.55811244308
9522.052,9521.77818459598
7326.929,7309.63077878986
9036.229,9027.52175426278
7008.995,7013.60002934475
7901.866,7948.17151118636
9552.55,9541.86420164662
6942.94,6950.87301279508
6933.133,6890.49151162649
7950.175,7940.52070145038
7949.576,7947.50008750662
7057.426,6984.1371976229
9267.779,9283.98830551372
8625.92,8672.50377808774
8003.486,7984.7108703684
8726.133,8701.46802879445
7339.101,7291.60557277125
9471.39,9503.87855432695
9422.493,9491.9239387427
7212.517,7247.26713230511
8926.626,8978.37849006884
9396.256,9342.16299592377
6996.091,6956.87558051541
8586.13,8642.47844602621
6928.997,6973.17306024013
8694.803,8701.89192209179
8636.255,8675.15360586841
10058.09,10005.7536595103
9342.925,9320.7229137321
9305.618,9299.42222635564
6924.573,6882.97749374746
7253.463,7244.02836037951
8751.116,8722.37509122676
9948.838,9952.56115535622
9527.957,9531.09252790792
7202.216,7239.91469514786
8775.3,8730.47923960767
7987.237,7954.42816309628
9288.516,9302.21729111144
9949.171,9950.46052259166
7277.077,7252.42959761213
9402.644,9339.03244342892
8990.227,8992.4215270787
9419.03,9351.99874490593
10060.268,10004.616623174
9250.172,9285.32091435657
9446.416,9499.5184797686
6816.845,6851.23585457314
7296.914,7259.48282826188
9947.994,9951.13664507066
7289.518,7308.81422192848
7861.138,7918.4873993554
9606.033,9562.99517726452
9866.925,9911.27408531372
6872.835,6930.77401277434
7279.267,7285.01168672893
8592.987,8645.93728412332
7983.241,7961.55398003052
9979.167,9962.8327465989
9400.75,9337.89627589394
9259.304,9280.18302368915
9891.076,9927.62767819397
6870.611,6872.26077167504
9313.431,9309.89368798583
9490.079,9509.75956300017
6912.759,6885.90366444012
8666.578,8677.52533366822
9023.331,9017.01828150634
7089.606,7032.6248594882
8786.362,8734.48205840133
9919.007,9940.78227091999
9983.861,9974.23105457214
8573.28,8639.23151411395
7297.498,7315.36214348068
7077.923,7043.5283589455
8991.136,8992.07856494388
9907.981,9935.12155236225
8588.914,8646.45565138498
6784.062,6825.87071313071
9592.844,9552.60325023427
6853.65,6837.60710063012
8052.947,8021.03948368913
9993.664,9967.94083030009
8599.387,8659.99410806454
8667.984,8680.06783383087
9055.022,9037.38615567801
7874.111,7904.39097340696
