"Actual","Predicted"
9879.668,9949.32262084637
9881.034,9964.63742564445
9012.165,8961.66427887084
6963.761,7022.95773049066
7937.405,7946.05599132895
7836.088,7920.31476295267
7270.13,7369.42023266926
9435.325,9516.21260703313
8028.877,8009.02716914362
9103.539,8995.03301826597
8667.556,8608.56783687064
8989.29,8953.41361591032
9918.751,9980.45838587472
10016.313,9998.31097932735
9986.239,9988.70223657712
9520.238,9538.3945967616
10011.035,9993.57016862708
9088.291,9000.96013076725
9321.503,9293.12652117457
8957.82,8949.61412306699
9414.628,9320.99283108935
8740.124,8630.32539714798
9260.53,9283.67009860835
9615.518,9564.77317427314
6841.965,6813.29680056391
8958.712,8948.42265703481
9879.038,9958.21657087193
7817.117,7908.37730693119
9956.851,9978.80677386448
9383.526,9319.08641468861
7051.018,7059.75447138727
9248.433,9277.85147664127
8032.895,7994.96984244527
9966.677,9996.29031501191
6905.736,6831.8552737139
6943.549,6863.56818447385
7022.127,6903.3431041003
9931.146,9980.11519560115
9968.188,9986.56836767364
10005.261,9996.19389519459
6879.967,7000.27977203844
8776.411,8641.41160375176
7887.427,7943.04686564132
6896.429,6998.31524942486
9081.37,8981.20259279138
9487.153,9537.32848890026
9463.424,9526.06998381997
9495.975,9543.6220036694
9999.7,9982.1565933132
9382.505,9305.95931539538
9043.721,8986.22101506229
7080.305,7065.9264375216
8582.169,8584.99129813863
7358.818,7383.21054876886
9583.421,9564.34231272187
6846.632,6982.21486338664
9459.035,9526.32383281605
9586.212,9561.07861708731
9237.482,9270.121273437
9904.139,9968.73502445304
7888.012,7950.71294909918
6791.217,6818.97708973833
7036.802,7051.72204652228
9013.406,8967.89762469711
9540.653,9543.33368796131
6887.714,6839.73345654427
7313.632,7355.05300369894
9953.697,9983.38405279283
7299.857,7383.21109282063
6910.508,6828.10876509099
9062.064,8966.4154477647
9309.136,9294.55426387375
8602.967,8593.6195402448
6989.927,7017.26448909873
6998.668,7030.96446678971
9897.858,9967.81951183629
7313.545,7381.1893797114
9404.627,9318.74083032178
7031.178,7051.49936299481
7099.85,7070.52688769875
9985.373,9991.49309392889
7988.758,7984.49488530104
8777.19,8639.29968460056
6973.075,6882.01813104199
9498.877,9539.61127553052
6892.829,6824.85080747287
9969.481,9986.17685518374
7264.007,7374.85627213387
9395.346,9315.74987703699
7235.542,7352.3449857116
6866.38,6997.63472770466
7165.679,7312.43604571343
6927.539,6880.03693061607
9405.058,9317.46613227772
7351.316,7395.9397236833
8641.51,8601.92453232666
7262.881,7361.41836833748
9460.461,9534.89199935811
7982.806,7963.54927320961
7865.593,7940.95738906206
9100.399,8997.17042953986
8702.152,8617.67481941632
9271.587,9287.99140036069
7846.146,7932.57447435256
9356.514,9306.6702608192
9588.651,9559.3171213607
7972.068,7975.27998038087
7307.776,7364.69185792299
6861.048,6803.33820149736
6827.748,6815.91716991305
6963.76,7015.17421162639
9485.007,9532.52455807858
8718.749,8613.50125506637
7402.839,7405.59262059014
7291.217,7343.10353735695
9495.664,9539.6655716257
9514.979,9540.99698251499
7120.082,7069.05799066736
10082.348,10023.8990265801
9338.865,9295.67249530307
7929.038,7960.45618791212
7305.939,7368.017012643
7305.868,7382.66039464931
7882.656,7942.12271335638
7927.184,7979.27536960033
7217.09,7351.93712951423
7345.448,7388.52314356294
9069.333,8978.61665246086
6960.952,7018.81544516044
7916.708,7948.8238486675
9522.052,9545.62601561295
7326.929,7382.56143442244
9036.229,8985.29562136948
7008.995,7037.36937446956
7901.866,7965.11728528271
9552.55,9552.94191337489
6942.94,7000.22801746823
6933.133,6856.48985511201
7950.175,7952.48759735538
7949.576,7961.25184235239
7057.426,6919.55115235789
9267.779,9275.41522374818
8625.92,8598.79995788733
8003.486,7972.07189915733
8726.133,8620.49381343842
7339.101,7350.75267025902
9471.39,9527.13331946226
9422.493,9524.365179074
7212.517,7327.36021885591
8926.626,8953.80617716903
9396.256,9318.91760555044
6996.091,6898.45010375934
8586.13,8579.83652040998
6928.997,7020.37333660024
8694.803,8626.74453027197
8636.255,8603.00428977046
10058.09,10022.2137487048
9342.925,9298.80017031855
9305.618,9294.59347438895
6924.573,6847.16884038132
7253.463,7312.48034246567
8751.116,8630.29796386577
9948.838,9971.35675287502
9527.957,9543.84701574688
7202.216,7317.59175518138
8775.3,8638.82031444279
7987.237,7969.06955834983
9288.516,9290.01677389229
9949.171,9977.20458685337
7277.077,7333.58609810358
9402.644,9309.64602582483
8990.227,8953.60012787268
9419.03,9326.48276122788
10060.268,10020.8505501977
9250.172,9273.96903898614
9446.416,9521.28420622732
6816.845,6835.65021392309
7296.914,7320.44248664775
9947.994,9972.83195915939
7289.518,7376.89810329793
7861.138,7937.85764607291
9606.033,9573.27236031558
9866.925,9951.07139092672
6872.835,6986.31672389514
7279.267,7360.41411028518
8592.987,8586.14800316805
7983.241,7968.37032277919
9979.167,9978.92403193382
9400.75,9312.44341690149
9259.304,9264.05593073878
9891.076,9956.89630138832
6870.611,6869.87886509302
9313.431,9295.13672845171
9490.079,9534.42177167293
6912.759,6852.90052868502
8666.578,8606.33033949427
9023.331,8974.84596288529
7089.606,7059.47016869846
8786.362,8642.09069343077
9919.007,9969.57932163095
9983.861,9994.49136363568
8573.28,8580.94061254801
7297.498,7379.14216009293
7077.923,7066.08423113613
8991.136,8950.05284088569
9907.981,9962.9143119667
8588.914,8576.89125434511
6784.062,6806.84502626644
9592.844,9556.67399961372
6853.65,6835.78565318964
8052.947,8012.29611488371
9993.664,9990.71129108089
8599.387,8587.48460599621
8667.984,8605.23347560494
9055.022,8982.48268240174
7874.111,7929.36262417068
7102.866,7064.63812926094
8705.999,8610.52952679336
9420.331,9515.30475879288
10079.134,10020.401444419
9564.245,9553.88442162883
7272.464,7338.96980420451
9890.133,9973.8929981054
7312.176,7358.35468644788
7274.233,7367.91115794853
8615.327,8594.21672801261
7967.17,7971.69453783897
8019.715,7979.45510326822
10005.219,10008.2602160339
6995.067,7034.4047049003
9559.876,9554.40933801908
8030.801,7989.23042533438
9309.348,9295.63444172853
9591.5,9558.6948666326
9239.094,9270.55164202962
9104.622,8986.7057384568
6997.468,6885.67138626356
6931.646,7019.04729005769
6942.296,7024.84828746297
6964.192,7033.13782888913
9045.091,8974.7653563108
8779.01,8636.4837261468
8973.455,8950.38112989675
7320.932,7382.02956544564
9439.566,9516.19777712003
9554.472,9552.4167396598
6883.378,6981.37394346942
8608.473,8586.57588630974
6945.953,6877.39854570954
7977.813,7981.25615464801
8019.788,7976.02298584381
9914.105,9980.2370565024
6905.77,6837.9700672185
9565.082,9560.94240637048
8639.309,8601.31969851746
9027.762,8974.18639732727
8590.504,8587.14926544077
8910.371,8930.623817192
9908.989,9968.43090034479
8973.064,8945.8646432816
8056.158,7999.65734650371
8763.773,8633.84424824505
7945.105,7966.48539163489
9012.853,8970.06549764735
6865.566,6991.38790557715
7114.133,7084.94198095122
9934.939,9972.38177094786
9906.013,9964.09235790888
7120.418,7094.95939674111
7296.4,7379.74439513171
6840.427,6840.9228604434
7050.585,7061.50651848933
10030.382,10004.0353639669
6923.833,6881.88176310814
7322.689,7394.44807794197
9571.759,9548.31702950665
9933.242,9970.71811370815
8960.355,8956.82045880987
8927.744,8945.09108269461
10033.916,10010.9916840416
7359.945,7385.75211591712
6798.021,6832.05105610012
9391.854,9312.76973694557
10033.091,9986.55530840365
9365.64,9307.50367551413
9424.948,9512.96075927435
7291.328,7373.42396438719
8992.744,8959.55815695363
6915.375,6876.99589534328
9856.461,9940.29879844931
6895.16,7008.44896936883
6961.085,6889.72405425788
7054.959,7065.50335555309
9921.187,9979.8200173697
6866.554,6860.88683218745
8096.025,8016.46092230909
7907.642,7956.02550057319
7965.791,7979.1366549387
8923.258,8932.53909758855
6979.949,7021.8183389238
7161.277,7312.92364807403
6785.933,6825.89392793636
6806.412,6801.89537739308
8724.652,8632.20205734876
8786.865,8638.47766147691
9086.4,8990.19849475998
9076.997,8985.67699146867
9901.923,9967.77228275816
6961.163,7028.25124290921
7089.162,7083.00939147532
9877.701,9963.68353928281
7342.663,7399.8637098874
9560.252,9552.81590591315
8730.034,8629.28618689036
9434.083,9526.31977484617
8672.282,8614.35537635599
9359.398,9302.23925285635
7399.569,7406.99193810847
6760.014,6819.69153229
9078.779,8981.21511696482
7393.204,7410.10140563354
7255.388,7331.83841613916
7020.173,7056.35555937789
9422.523,9328.15412166708
6931.561,7007.12143602974
9477.488,9543.81644092052
9064.716,8979.84139247014
9471.588,9530.99238853172
9040.969,8978.17873741322
10067.621,10017.236237136
7325.203,7387.25232531991
8969,8959.42622667609
9856.561,9949.95470463723
7046.293,7057.68537527398
9349.522,9314.1689908334
7973.329,7986.7147890032
9463.175,9534.35746946011
8953.42,8959.42351956411
6963.635,7020.39371344983
10054.401,10015.3666531402
9085.025,8981.48756269618
6822.719,6845.61783610499
