"Actual","Predicted"
9879.668,9914.69931500922
9881.034,9928.95519401471
9012.165,9003.11337702178
6963.761,6980.14734378221
7937.405,7930.23978954062
7836.088,7891.30609788786
7270.13,7293.82731357884
9435.325,9486.66650294205
8028.877,8014.81031258037
9103.539,9051.03514333854
8667.556,8684.87200763693
8989.29,8993.33398200104
9918.751,9946.96633549697
10016.313,9981.08867493611
9986.239,9967.31884518262
9520.238,9523.45775274402
10011.035,9975.67012910861
9088.291,9054.57822609753
9321.503,9308.43498507144
8957.82,8985.76606386037
9414.628,9349.9507209342
8740.124,8715.7406686043
9260.53,9290.88954822516
9615.518,9564.86153207478
6841.965,6831.7560449211
8958.712,8985.46666159605
9879.038,9920.64062093131
7817.117,7873.60614248241
9956.851,9954.47011084082
9383.526,9342.8042682965
7051.018,7039.08055049862
9248.433,9283.41541758919
8032.895,7995.56025939063
9966.677,9972.09449063539
6905.736,6891.26578995877
6943.549,6897.97810762927
7022.127,6963.29940403013
9931.146,9953.12082497663
9968.188,9961.53307857688
10005.261,9975.99307321723
6879.967,6944.19588921061
8776.411,8734.10565359309
7887.427,7921.90306236197
6896.429,6938.3338369473
9081.37,9034.28987856827
9487.153,9518.0521136139
9463.424,9501.87637130235
9495.975,9523.85408969559
9999.7,9964.28921854746
9382.505,9331.86219170459
9043.721,9032.94989219133
7080.305,7049.76213058061
8582.169,8642.33766929203
7358.818,7307.53374448693
9583.421,9556.98553427582
6846.632,6921.06831762418
9459.035,9498.21585458744
9586.212,9550.4685378463
9237.482,9271.05543493578
9904.139,9936.37215875866
7888.012,7933.62592999192
6791.217,6839.03785959882
7036.802,7021.66234622673
9013.406,9009.35899814562
9540.653,9534.11771155901
6887.714,6873.34811583345
7313.632,7279.56108214571
9953.697,9958.43338162792
7299.857,7310.72694573309
6910.508,6869.64267703459
9062.064,9015.31017432607
9309.136,9308.49664774047
8602.967,8657.80363356611
6989.927,6988.24086182539
6998.668,6997.93895706747
9897.858,9929.82201817734
7313.545,7306.61656451486
9404.627,9347.59022032998
7031.178,7021.72529903051
7099.85,7049.24882127999
9985.373,9968.58412923888
7988.758,7982.80668364339
8777.19,8727.3614472338
6973.075,6922.14584811626
9498.877,9519.58949156259
6892.829,6855.15216595703
9969.481,9959.7265835727
