"Actual","Predicted"
9879.668,9936.14959655833
9881.034,9950.45747324267
9012.165,8969.29750792465
6963.761,7012.82434706327
7937.405,7937.67486862424
7836.088,7898.6922886439
7270.13,7354.40301217932
9435.325,9499.0351918252
8028.877,8021.92799740066
9103.539,9016.89162080802
8667.556,8622.92146370741
8989.29,8959.52564587761
9918.751,9968.09117463296
10016.313,10001.9080982589
9986.239,9988.37599428808
9520.238,9536.06817599857
10011.035,9997.21066004899
9088.291,9020.51359816084
9321.503,9297.98016111034
8957.82,8951.90647604997
9414.628,9339.69005585844
8740.124,8653.68069659823
9260.53,9280.7343452475
9615.518,9577.4189980176
6841.965,6810.74109196052
8958.712,8951.36925604162
9879.038,9942.5297562361
7817.117,7881.00271880488
9956.851,9976.02964906654
9383.526,9332.52899157551
7051.018,7060.62911288543
9248.433,9272.87743021518
8032.895,8002.79254830261
9966.677,9993.22919264165
6905.736,6868.05677707469
6943.549,6877.82692835139
7022.127,6937.17103238406
9931.146,9974.27710394861
9968.188,9982.9010874085
10005.261,9996.91185774632
6879.967,6975.19369837962
8776.411,8672.11878740652
7887.427,7929.29547108736
6896.429,6962.91364088862
9081.37,9000.38139577492
9487.153,9530.74621366194
9463.424,9514.29233188845
9495.975,9536.77193101988
9999.7,9986.46969547674
9382.505,9321.83928678238
9043.721,8998.90630742297
7080.305,7082.61204122052
8582.169,8580.34846955654
7358.818,7368.07436004158
9583.421,9569.17141939895
6846.632,6951.24670958246
9459.035,9510.88786913861
9586.212,9563.00708618423
9237.482,9260.48197443189
9904.139,9957.31455671821
7888.012,7941.0037660503
6791.217,6819.12272168935
7036.802,7054.5460914368
9013.406,8975.20935280439
9540.653,9546.82426936824
6887.714,6850.01797397759
7313.632,7340.29295068278
9953.697,9979.42197852733
7299.857,7371.25568389207
6910.508,6846.19469122731
9062.064,8981.26135744437
9309.136,9298.3354721906
8602.967,8595.64397532489
6989.927,7013.86116881337
6998.668,7029.18795260738
9897.858,9950.95122057114
7313.545,7367.1345536977
9404.627,9337.46690463672
7031.178,7051.24104465597
7099.85,7082.29497172951
9985.373,9989.40871736933
7988.758,7989.99316479119
8777.19,8665.65384811439
6973.075,6902.00085593631
9498.877,9531.88765250616
6892.829,6832.83953184478
9969.481,9981.00194942788
7264.007,7361.56788567596
9395.346,9330.02143050422
7235.542,7315.98288669181
6866.38,6965.03994546297
7165.679,7280.41490534261
6927.539,6887.56844780653
9405.058,9336.12788830826
7351.316,7392.02740709064
8641.51,8611.53938001299
7262.881,7337.51375980635
9460.461,9521.8327276915
7982.806,7966.33582310856
7865.593,7914.23214544544
9100.399,9014.99603469854
8702.152,8637.23560867086
9271.587,9286.4412873394
7846.146,7913.63171781802
9356.514,9319.4311577827
9588.651,9564.66251129842
7972.068,7979.8670540672
7307.776,7348.66532531248
6861.048,6815.95616093522
6827.748,6812.12304344956
6963.76,7002.02627157948
9485.007,9524.20552307953
8718.749,8632.48107360709
7402.839,7415.0000448352
7291.217,7332.33564858733
9495.664,9534.87397782099
9514.979,9537.53465970333
7120.082,7084.98965786776
